key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"遗迹走龙",0,"",0,0,1,0,0
3,"雌羚羊",0,"",0,0,1,0,0
4,"雄羚羊",0,"",0,0,1,0,0
5,"奥猴",0,"",0,0,1,0,0
6,"狐猴",0,"",0,0,1,0,0
7,"巨蝇",0,"",0,0,1,0,0
8,"巨虻",0,"",0,0,1,0,0
9,"灵蛛蝎",0,"",0,0,1,0,0
10,"凶蛛蝎",0,"",0,0,1,0,0
11,"祸蛛蝎",0,"",0,0,1,0,0
12,"兀鹫",0,"",0,0,1,0,0
13,"秃鹫",0,"",0,0,1,0,0
14,"狂野仔猪",0,"",0,0,1,0,0
15,"狂野野猪",0,"",0,0,1,0,0
16,"狂野疣猪",0,"",0,0,1,0,0
17,"气球怪",0,"",0,0,1,0,0
18,"僵尸",0,"",0,0,1,0,0
19,"僵尸法师",0,"",0,0,1,0,0
20,"尸鬼",0,"",0,0,1,0,0
21,"捣蛋小鬼",0,"",0,0,1,0,0
22,"小红花",0,"",0,0,1,0,0
23,"飞虻陷阱草",0,"",0,0,1,0,0
24,"树精",0,"",0,0,1,0,0
25,"树妖",0,"",0,0,1,0,0
26,"巨蟾蜍",0,"",0,0,1,0,0
27,"夜蟾蜍",0,"",0,0,1,0,0
28,"长须豹幼崽",0,"",0,0,1,0,0
29,"无头骑士",0,"",0,0,1,0,0
30,"泥土巨像",0,"",0,0,1,0,0
31,"夺心魔",0,"",0,0,1,0,0
32,"小口花",0,"",0,0,1,0,0
33,"大口花",0,"",0,0,1,0,0
34,"精金龟",0,"",0,0,1,0,0
35,"冬贝利",0,"",0,0,1,0,0
36,"圆甲虫",0,"",0,0,1,0,0
37,"松鼠",0,"",0,0,1,0,0
38,"漆黑蝙蝠",0,"",0,0,1,0,0
39,"树生蛞蝓",0,"",0,0,1,0,0
40,"森林兔蝓",0,"",0,0,1,0,0
41,"飞蝇群",0,"",0,0,1,0,0
42,"盲头蟹",0,"",0,0,1,0,0
43,"沙蚤",0,"",0,0,1,0,0
44,"血蚤",0,"",0,0,1,0,0
45,"妖火",0,"",0,0,1,0,0
46,"离子电",0,"",0,0,1,0,0
47,"丛林魔菇",0,"",0,0,1,0,0
48,"毒蟾魔饵",0,"",0,0,1,0,0
49,"花甲虫",0,"",0,0,1,0,0
50,"哥布林暴徒",0,"",0,0,1,0,0
51,"首领变色龙",0,"",0,0,1,0,0
52,"红腹警戒蜂兵",0,"",0,0,1,0,0
53,"第三大队剑斗士",0,"",0,0,1,0,0
54,"黄蜂群",0,"",0,0,1,0,0
55,"死亡凝视",0,"",0,0,1,0,0
56,"水元精",0,"",0,0,1,0,0
57,"第三大队十夫长",0,"",0,0,1,0,0
58,"第三大队绳斗士",0,"",0,0,1,0,0
59,"第三大队骑士",0,"",0,0,1,0,0
60,"第三大队拳斗士",0,"",0,0,1,0,0
61,"第三大队旗手",0,"",0,0,1,0,0
62,"翼蜥",0,"",0,0,1,0,0
63,"软糊怪",0,"",0,0,1,0,0
64,"嚎叫之妖精",0,"",0,0,1,0,0
65,"叹息之妖精",0,"",0,0,1,0,0
66,"咆哮之妖精",0,"",0,0,1,0,0
67,"嚎叫之森精",0,"",0,0,1,0,0
68,"叹息之森精",0,"",0,0,1,0,0
69,"咆哮之森精",0,"",0,0,1,0,0
70,"歌唱之森精",0,"",0,0,1,0,0
71,"黄昏结 西尔贝希奥",0,"",0,0,1,0,0
72,"波克曼",0,"",0,0,1,0,0
73,"主宰者 加尔梵斯",0,"",0,0,1,0,0
74,"破碎金龟",0,"",0,0,1,0,0
75,"埃利科",0,"",0,0,1,0,0
