key,0,1,2,3,4,5,6,7,8,9,10,11
#,Name,,Name{NoArticle},,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,byte,uint16,byte
0,"",0,"",0,0,1,0,0,"",0,0,0
1,"",0,"",0,0,0,0,0,"",0,0,0
2,"",0,"",0,0,0,0,0,"",0,0,0
3,"",0,"",0,0,0,0,0,"",0,0,0
4,"",0,"",0,0,0,0,0,"",0,0,0
5,"",0,"",0,0,0,0,0,"",0,0,0
6,"",0,"",0,0,0,0,0,"",0,0,0
7,"",0,"",0,0,0,0,0,"",0,0,0
8,"",0,"",0,0,0,0,0,"",0,0,0
9,"",0,"",0,0,0,0,0,"",0,0,0
10,"",0,"",0,0,0,0,0,"",0,0,0
11,"",0,"",0,0,0,0,0,"",0,0,0
12,"",0,"",0,0,0,0,0,"",0,0,0
13,"",0,"",0,0,0,0,0,"",0,0,0
14,"",0,"",0,0,0,0,0,"",0,0,0
15,"",0,"",0,0,0,0,0,"",0,0,0
16,"",0,"",0,0,0,0,0,"",0,0,0
17,"",0,"",0,0,0,0,0,"",0,0,0
18,"行会理符",0,"",0,0,1,0,0,"",0,0,0
19,"",0,"",0,0,1,0,0,"",0,0,0
20,"海德林",0,"",0,0,1,0,0,"",0,0,0
21,"艾欧泽亚",0,"",0,0,1,0,0,"",0,0,0
22,"拉诺西亚",0,"",0,0,1,0,0,"",0,100,0
23,"黑衣森林",0,"",0,0,1,0,0,"",0,200,0
24,"萨纳兰",0,"",0,0,1,0,0,"",0,300,0
25,"库尔札斯",0,"",0,0,1,0,0,"",0,400,0
26,"摩杜纳",0,"",0,0,1,0,0,"",0,500,0
27,"利姆萨·罗敏萨",0,"",0,0,1,0,0,"",0,0,0
28,"利姆萨·罗敏萨上层甲板",0,"",0,0,1,0,0,"",0,0,0
29,"利姆萨·罗敏萨下层甲板",0,"",0,0,1,0,0,"",0,0,0
30,"中拉诺西亚",0,"",0,0,1,0,0,"",0,0,0
31,"拉诺西亚低地",0,"",0,0,1,0,0,"",0,0,0
32,"东拉诺西亚",0,"",0,0,1,0,0,"",0,0,0
33,"西拉诺西亚",0,"",0,0,1,0,0,"",0,0,0
34,"拉诺西亚高地",0,"",0,0,1,0,0,"",0,0,0
35,"沙斯塔夏溶洞",0,"",0,0,1,0,0,"",0,0,0
36,"布雷福洛克斯野营地",0,"",0,0,1,0,0,"",0,0,0
37,"放浪神古神殿",0,"",0,0,1,0,0,"",0,0,0
38,"",0,"",0,0,0,0,0,"",0,0,0
39,"格里达尼亚",0,"",0,0,1,0,0,"",0,0,0
40,"乌尔达哈现世回廊",0,"",0,0,1,0,0,"",0,0,0
41,"乌尔达哈来生回廊",0,"",0,0,1,0,0,"",0,0,0
42,"西萨纳兰",0,"",0,0,1,0,0,"",0,0,0
43,"中萨纳兰",0,"",0,0,1,0,0,"",0,0,0
44,"东萨纳兰",0,"",0,0,1,0,0,"",0,0,0
45,"南萨纳兰",0,"",0,0,1,0,0,"",0,0,0
46,"北萨纳兰",0,"",0,0,1,0,0,"",0,0,0
47,"樵鸣洞",0,"",0,0,1,0,0,"",0,0,0
48,"铜铃铜山",0,"",0,0,1,0,0,"",0,0,0
49,"日影地修炼所",0,"",0,0,1,0,0,"",0,0,0
50,"喀恩埋没圣堂",0,"",0,0,1,0,0,"",0,0,0
51,"乌尔达哈",0,"",0,0,1,0,0,"",0,0,0
52,"格里达尼亚新街",0,"",0,0,1,0,0,"",0,0,0
53,"格里达尼亚旧街",0,"",0,0,1,0,0,"",0,0,0
54,"黑衣森林中央林区",0,"",0,0,1,0,0,"",0,0,0
55,"黑衣森林东部林区",0,"",0,0,1,0,0,"",0,0,0
56,"黑衣森林南部林区",0,"",0,0,1,0,0,"",0,0,0
57,"黑衣森林北部林区",0,"",0,0,1,0,0,"",0,0,0
58,"塔姆·塔拉墓园",0,"",0,0,1,0,0,"",0,0,0
59,"静语庄园",0,"",0,0,1,0,0,"",0,0,0
60,"",0,"",0,0,0,0,0,"",0,0,0
61,"托托·拉克千狱",0,"",0,0,1,0,0,"",0,0,0
62,"伊修加德",0,"",0,0,1,0,0,"",0,0,0
63,"库尔札斯中央高地",0,"",0,0,1,0,0,"",0,0,0
64,"泽梅尔要塞",0,"",0,0,1,0,0,"",0,0,0
65,"黄金谷",0,"",0,0,1,0,0,"",0,0,0
66,"东方地域",0,"",0,0,1,0,0,"",0,0,0
67,"摩杜纳",0,"",0,0,1,0,0,"",0,0,0
68,"翡翠湖滨",0,"",0,0,1,0,0,"",0,10,0
69,"翠泪择伐区",0,"",0,0,1,0,0,"",0,20,0
70,"弯枝",0,"",0,0,1,0,0,"",0,30,0
71,"酸模避风港",0,"",0,0,1,0,0,"",0,40,0
72,"朽骨森",0,"",0,0,1,0,0,"",0,45,0
73,"蜜场",0,"",0,0,1,0,0,"",0,10,0
74,"九藤",0,"",0,0,1,0,0,"",0,20,0
75,"荆棘森",0,"",0,0,1,0,0,"",0,30,0
76,"百灵啼",0,"",0,0,1,0,0,"",0,40,0
77,"妖精领",0,"",0,0,1,0,0,"",0,50,0
78,"高径",0,"",0,0,1,0,0,"",0,10,0
79,"低径",0,"",0,0,1,0,0,"",0,30,0
80,"蛇蜕林",0,"",0,0,1,0,0,"",0,40,0
81,"沉默花坛",0,"",0,0,1,0,0,"",0,20,0
82,"兀尔德恩惠地",0,"",0,0,1,0,0,"",0,50,0
83,"私语巨木",0,"",0,0,1,0,0,"",0,10,0
84,"和平苑",0,"",0,0,1,0,0,"",0,20,0
85,"桤木泉",0,"",0,0,1,0,0,"",0,30,0
86,"荣耀溪",0,"",0,0,1,0,0,"",0,40,0
87,"青貉门",0,"",0,0,1,0,0,"",0,0,0
88,"白狼门",0,"",0,0,1,0,0,"",0,0,0
89,"基尔波特哨塔",0,"",0,0,1,0,0,"",0,0,0
90,"烤饼练兵所",0,"",0,0,1,0,0,"",0,0,0
91,"加比诺老爹的小屋",0,"",0,0,1,0,0,"",0,0,0
92,"裸岩丘",0,"",0,0,1,0,0,"",0,0,0
93,"沃连牢狱",0,"",0,0,1,0,0,"",0,0,0
94,"弯枝牧场",0,"",0,0,1,0,0,"",0,0,0
95,"加尔梵斯哨塔",0,"",0,0,1,0,0,"",0,0,0
96,"地母神忘迹",0,"",0,0,1,0,0,"",0,0,0
97,"塔姆·塔拉墓园",0,"",0,0,1,0,0,"",0,0,0
98,"镜池栈桥",0,"",0,0,1,0,0,"",0,0,0
99,"睡莲岩",0,"",0,0,1,0,0,"",0,0,0
100,"境树",0,"",0,0,1,0,0,"",0,0,0
101,"常影区",0,"",0,0,1,0,0,"",0,0,0
102,"静语庄园",0,"",0,0,1,0,0,"",0,0,0
103,"血祭台",0,"",0,0,1,0,0,"",0,0,0
104,"萌芽池",0,"",0,0,1,0,0,"",0,0,0
105,"龙纹岩",0,"",0,0,1,0,0,"",0,0,0
106,"魔石精巢穴",0,"",0,0,1,0,0,"",0,0,0
107,"霍桑山寨",0,"",0,0,1,0,0,"",0,0,0
108,"境树",0,"",0,0,1,0,0,"",0,0,0
109,"",0,"",0,0,0,0,0,"",0,0,0
110,"阿马里赛哨塔",0,"",0,0,1,0,0,"",0,0,0
111,"帝国东方堡",0,"",0,0,1,0,0,"",0,0,0
112,"十二神大圣堂",0,"",0,0,1,0,0,"",0,0,0
113,"妖精暂留地",0,"",0,0,1,0,0,"",0,0,0
114,"月芽丛",0,"",0,0,1,0,0,"",0,0,0
115,"摇篮树",0,"",0,0,1,0,0,"",0,0,0
116,"金叶台",0,"",0,0,1,0,0,"",0,0,0
117,"悬钩群",0,"",0,0,1,0,0,"",0,0,0
118,"巴斯卡隆监视所遗址",0,"",0,0,1,0,0,"",0,0,0
119,"巴斯卡隆酒家",0,"",0,0,1,0,0,"",0,0,0
120,"托托·拉克千狱",0,"",0,0,1,0,0,"",0,0,0
121,"空居",0,"",0,0,1,0,0,"",0,0,0
122,"无人庵",0,"",0,0,1,0,0,"",0,0,0
123,"恬静路营地",0,"",0,0,1,0,0,"",0,0,0
124,"",0,"",0,0,0,0,0,"",0,0,0
125,"无限城市街古迹",0,"",0,0,1,0,0,"",0,0,0
126,"蔓根沼",0,"",0,0,1,0,0,"",0,0,0
127,"森南飞艇坪",0,"",0,0,1,0,0,"",0,0,0
128,"无限城古堡",0,"",0,0,1,0,0,"",0,0,0
129,"石场水车",0,"",0,0,1,0,0,"",0,0,0
130,"红腹蜂巢",0,"",0,0,1,0,0,"",0,0,0
131,"哥布林族野营地",0,"",0,0,1,0,0,"",0,0,0
132,"枯叶堆",0,"",0,0,1,0,0,"",0,0,0
133,"兀尔德泉",0,"",0,0,1,0,0,"",0,0,0
134,"",0,"",0,0,0,0,0,"",0,0,0
135,"黄蛇门",0,"",0,0,1,0,0,"",0,0,0
136,"私语巨木鸟栏",0,"",0,0,1,0,0,"",0,0,0
137,"艾·塔塔哨塔",0,"",0,0,1,0,0,"",0,0,0
138,"境树",0,"",0,0,1,0,0,"",0,0,0
139,"林场水车",0,"",0,0,1,0,0,"",0,0,0
140,"秋瓜浮村",0,"",0,0,1,0,0,"",0,0,0
141,"浮栓亭",0,"",0,0,1,0,0,"",0,0,0
142,"弗洛朗泰尔哨塔",0,"",0,0,1,0,0,"",0,0,0
143,"山人岩穴",0,"",0,0,1,0,0,"",0,0,0
144,"格尔莫拉遗迹",0,"",0,0,1,0,0,"",0,1,0
145,"鸟人军采伐所",0,"",0,0,1,0,0,"",0,0,0
146,"欧金尼娅哨塔",0,"",0,0,1,0,0,"",0,0,0
147,"初学者学堂",0,"",0,0,1,0,0,"",0,0,0
148,"",0,"",0,0,0,0,0,"",0,0,0
149,"",0,"",0,0,0,0,0,"",0,0,0
150,"",0,"",0,0,0,0,0,"",0,0,0
151,"栖木旅馆",0,"",0,0,1,0,0,"",0,0,0
152,"艾欧泽亚地下空间",0,"",0,0,1,0,0,"",0,0,0
153,"陌迪翁牢狱",0,"",0,0,1,0,0,"",0,0,0
154,"群狼困斗",0,"",0,0,1,0,0,"",0,0,0
155,"花蜜栈桥",0,"",0,0,1,0,0,"",0,0,0
156,"西叶脉",0,"",0,0,1,0,0,"",0,0,0
157,"东叶脉",0,"",0,0,1,0,0,"",0,0,0
158,"若斯兰哨塔",0,"",0,0,1,0,0,"",0,0,0
159,"盛花养蜂场",0,"",0,0,1,0,0,"",0,0,0
160,"元灵幼树",0,"",0,0,1,0,0,"",0,0,0
161,"和风流地",0,"",0,0,1,0,0,"",0,10,0
162,"盛夏滩",0,"",0,0,1,0,0,"",0,20,0
163,"三星里弯陷",0,"",0,0,1,0,0,"",0,30,0
164,"莫拉比湾",0,"",0,0,1,0,0,"",0,10,0
165,"雪松原",0,"",0,0,1,0,0,"",0,20,0
166,"神握角",0,"",0,0,1,0,0,"",0,30,0
167,"鲜血滨",0,"",0,0,1,0,0,"",0,10,0
168,"接雨草树林",0,"",0,0,1,0,0,"",0,20,0
169,"永恒旧街",0,"",0,0,1,0,0,"",0,30,0
170,"四分石地",0,"",0,0,1,0,0,"",0,10,0
171,"骷髅谷",0,"",0,0,1,0,0,"",0,20,0
172,"二分石地",0,"",0,0,1,0,0,"",0,40,0
173,"幻影群岛",0,"",0,0,1,0,0,"",0,30,0
174,"橡树原",0,"",0,0,1,0,0,"",0,10,0
175,"登天路",0,"",0,0,1,0,0,"",0,10,0
176,"黑金湖",0,"",0,0,1,0,0,"",0,20,0
177,"石绿湖",0,"",0,0,1,0,0,"",0,20,0
178,"泽尔玛溪谷",0,"",0,0,1,0,0,"",0,30,0
179,"和风陆门",0,"",0,0,1,0,0,"",0,0,0
180,"加拉迪翁湾",0,"",0,0,1,0,0,"",0,0,0
